Country name,Ladder score,log_GDP,Social_Support,Life_expectancy,Freedom,Generosity,Corruption,cluster,happiness_resid
Finland,7.741,1.844,1.572,0.695,0.859,0.142,0.546,2,1.2166931743860863
Denmark,7.583,1.908,1.52,0.699,0.823,0.204,0.548,2,0.922021914271224
Iceland,7.525,1.881,1.617,0.718,0.819,0.258,0.182,2,0.9216801021321821
Sweden,7.344,1.878,1.501,0.724,0.838,0.221,0.524,2,0.747086567450066
Israel,7.341,1.803,1.513,0.74,0.641,0.153,0.193,0,0.9042482003971708
Netherlands,7.319,1.901,1.462,0.706,0.725,0.247,0.372,2,0.6729703333462869
Norway,7.302,1.952,1.517,0.704,0.835,0.224,0.484,2,0.5470604229422555
Luxembourg,7.122,2.141,1.355,0.708,0.801,0.146,0.432,2,-0.0365468920844485
Switzerland,7.06,1.97,1.425,0.747,0.759,0.173,0.498,2,0.2666216310349503
Australia,7.057,1.854,1.461,0.692,0.756,0.225,0.323,2,0.5113382899931391
New Zealand,7.029,1.81,1.527,0.673,0.746,0.226,0.48,2,0.5772997813221075
Costa Rica,6.955,1.561,1.373,0.661,0.797,0.109,0.123,0,1.0350364027064956
Kuwait,6.951,1.845,1.364,0.661,0.827,0.2,0.172,0,0.4245576859467919
Austria,6.905,1.885,1.336,0.696,0.703,0.214,0.305,2,0.29313814837500285
Canada,6.9,1.84,1.459,0.701,0.73,0.23,0.368,2,0.3842351281432652
Belgium,6.894,1.868,1.44,0.69,0.729,0.17,0.311,2,0.31844145184301276
Ireland,6.838,2.129,1.39,0.7,0.758,0.205,0.418,2,-0.2949210308129109
Czechia,6.822,1.783,1.511,0.638,0.787,0.177,0.068,0,0.4279579691830655
Lithuania,6.818,1.766,1.454,0.598,0.533,0.044,0.116,0,0.4602612726510751
United Kingdom,6.749,1.822,1.326,0.672,0.713,0.267,0.351,2,0.2716739200505698
Slovenia,6.743,1.786,1.502,0.695,0.789,0.157,0.131,0,0.34255150386518096
United Arab Emirates,6.733,1.983,1.164,0.563,0.815,0.209,0.258,2,-0.08813971867588144
